No. tar.,No.,Tema, ,Opción A,Opción B,Opción C
T003,5,Ciencias y Tecnología,"¿Que poderoso telescopio puso en órbita  EE.UU. a 600 Kms. de la Tierra, para descubrir y escudriñar las intimidades de los cuerpos celestes?",Hubble *,Kepler,Galileo
,,,,,,
,,,,,,
T003,6,Cultura General,¿Dónde nació el grito feminista de Un violador en tu camino?,España,Chile *,Portugal
,,,,,,
,,,,,,
,,,,,,
,,,,,,
T004,1,México,"¿Qué culturas florecieron en Monte Albán, Mitla y Zaachila,cuyas artesanías fueron las mejores del México prehispánico?",Otomí y Purépecha,Totonaca y Olmeca,Mixteca-Zapoteca *
,,,,,,
,,,,,,
,,,,,,
T004,2,Historia Universal,"El proyecto de la 1a bomba atómica se llamaba Operación Manhattan, el avión portador, Enola Gay, ¿y el artefacto?",Fat Man,Little Boy *,Blue Angel
,,,,,,
,,,,,,
,,,,,,
T004,3,Geografía Universal,"Las orillas de este lago bíblico de 1,049 Km./2, que pertenece a Jordania e Israel, estan a 429 metros bajo el nivel del mar...",Mar Muerto *,Mar Negro,Mar de Galilea
,,,,,,
,,,,,,
,,,,,,
T004,4,"Artes, Deportes y Entretenimientos",¿Qué equipo de la liga Nacional ha ganado mas partidos en la historia del beisbol?,Gigantes de San Francisco *,Medias Rojas de Boston,Medias Blancas de Chicago
,,,,,,
,,,,,,
T004,5,Ciencias y Tecnología,Se emplea poco en estado natural pero es el mas usado de los metales. Al fusionarse con el carbón  produce acero...,Hierro *,Aluminio,Radio
,,,,,,
,,,,,,
,,,,,,
T004,6,Cultura General,"El principal explorador de África, fue este médico escocés que buscando las fuentes del rio Nilo, se extravió durante años...",Henry Cabot,David Livingstone *,John Hanning Speke
,,,,,,
,,,,,,
,,,,,,
T005,1,México,"Este héroe de nuestra Independencia fue apresado en el barco Colombo y fusilado en Oaxaca en 1831, debido a la traición de Francisco Picaluga. ",José Ma. Morelos,Ignacio Allende,Vicente Guerrero*
,,,,,,
,,,,,,
T005,2,Historia Universal," Gobernante iraní  atacado por un fanático religioso ultraderechista en 1949, propinándole 5 disparos con arma de fuego, y que sin embargo , no murió. ",Mohammad Reza Pahlavi*,Hosni Mubarak,Muamar Gadafi
,,,,,,
,,,,,,
,,,,,,
T005,3,Geografía Universal,"Río que nace en las Rocallosas, pasa por Utah y Arizona, separa a California de Nevada,entra a México y desemboca en el Mar de Cortés.",Bravo,Colorado*,Potomack
,,,,,,
,,,,,,
,,,,,,
T005,4,"Artes, Deportes y Entretenimientos","Escultor moderno mas talentoso que murió en 1917,son célebres sus estatuas de El beso y El Pensador. ",Auguste Rodín*,Alexander Calder,Gustave  Eiffel
,,,,,,
,,,,,,
T005,5,Ciencias y Tecnología,¿Qué insecto es quizá el único animal que no ha tenido cambios en su fisonomía en los últimos cuatrocientos millones de años?,La cucaracha*,La Mosca,La catarina
,,,,,,
,,,,,,
T005,6,Cultura General,"El idioma castellano está tan extendido que ya trascendió, con mucho, a España. De cada 10  hispanohablantes, ¿Cuántos nacieron en la madre patria ?",Uno*,Dos,Cuatro
,,,,,,
,,,,,,
,,,,,,
T006,1,México,¿Qué general derrotó a los franceses en Puebla y envió a Juárez un telegrama diciendo: 'Las armas nacionales se cubrieron de gloria'?,Pedro María Anaya,Porfirio Díaz,Ignacio Zaragozas *
,,,,,,
,,,,,,
T006,2,Historia Universal,¿Qué dictador masacró a miles de inmigrantes haitianos que no pudieron acreditar su orígen dominicano pronunciando la palabra 'perejil' en 1937?,Rafael Leónidas Trujillo *,Fulgencio Batista,Jorge Rafael Videla
,,,,,,
,,,,,,
,,,,,,
T006,3,Geografía Universal,¿Qué país cambiaría una buena parte de sus picos nevados por unas lindas playas marítimas?,Bolivia*,Ecuador,Uruguay
,,,,,,
,,,,,,
T006,4,"Artes, Deportes y Entretenimientos",¿En qué isla de Chile se encuentran 800 misteriosas estatuas cabezonas  de piedra de entre 3 y 12 metros de altura?,De Navidad,De Pascua *,De Reyes
,,,,,,
,,,,,,
,,,,,,
T006,5,Ciencias y Tecnología,"El corazón tiene cuatro cavidades, dos de ellas llamadas ventrículos y dos que responden al nombre de...",Divertículos,Aurículas *,Cubículos
,,,,,,
,,,,,,
T006,6,Cultura General,¿Qué edificio del gobierno de EE.UU fue asaltado por un grupo de manifestantes 'trumpistas' el 6 de Enero del 2021?,Capitolio *,Casa Blanca,Pentágono
,,,,,,
,,,,,,
,,,,,,
,,,,,,
T007,1,México,"Nuestra Paola Longoria ganó oro individual, dobles y por equipos en los Panamericanos de 2019, ¿En qué competencia?",Badminton,Raquetbol *,Tenis de mesa
,,,,,,
,,,,,,
,,,,,,
T007,2,Historia Universal,"Reina de Babilonia que construyó los célebres jardines colgantes, que también se le atribuyen a Nabucodonosor II...",Semiramis *,Nicte Ha,Sherezada
,,,,,,
,,,,,,
,,,,,,
T007,3,Geografía Universal,"Ya que el diámetro de la tierra es de 12,756 kilómetos, la circunferencia de la  misma es 3.1416 mas grande, o sea de...","59,075 Kms.","40,075 Kms. *","75,075 Kms."
,,,,,,
,,,,,,
T007,4,"Artes, Deportes y Entretenimientos","Es una hazaña que una sola persona sea nominada al Oscar en cuatro categorías por una mism película, ¿quién fue la quinta en lograrlo en 2019?",Bradley Cooper,Alfonso Cuarón *,Spike Lee
,,,,,,
,,,,,,
T007,5,Ciencias y Tecnología,"Cada pulmón mide 30 cms. de largo, tiene forma cónica y el oxígeno que inhala lo exhala en forma de...",Monóxico de carbono,Bióxido de carbono *,Hidratos de carbono
,,,,,,
,,,,,,
,,,,,,
T007,6,Cultura General,¿Qué gran civilización tuvo el acierto de agregar las vocales al alfabeto porque estaba difícil escribir sin ellas?,Grecia *,Fenicia,Egipto
,,,,,,
,,,,,,
,,,,,,
T008,1,México,El emperador Maximiliano de Hasburgo fue fusilado al lado de los generales Tomás Mejía y Miguel Miramón en el Cerro de...,la Silla,las Campanas *,el Cubilete
,,,,,,
T008,2,Historia Universal,"Qué constructora brasileña protagonizó el mas grande escándalo de corrupción en América Latina, involucrando a 12 países?",Maddof,Odebrecht *,Belfort
,,,,,,
T008,3,Geografía Universal,"E.E.U.U. tiene dos grandes penínsulas, una es la Florida, la otra está en el extremo opuesto, ¿cuál es?",Alaska *,Labrador,Terranova
,,,,,,
T008,4,"Artes, Deportes y Entretenimientos",¿Qué brillante parador en corto de los Yanquis de Nueva York colgó los spikes en 2014 y en 2020 ingresó al Salón de la fama?,Alex Rodríguez,Derek Jeter *,Carl Ripken Jr.
,,,,,,
T008,5,Ciencias y Tecnología,¿Qué molusco es el animal acuático invertebrado más veloz pues tiene un sistema de propulsión a chorro?,Nautilo,Calamar *,Camarón
,,,,,,
T008,6,Cultura General,"¿De qué imponente tumba, erigida por él mismo, fué removido el cadáver de Francisco Franco en 2019?",Valle de los caídos *,El Escorial,El Palacio de la Zarzuela
,,,,,,
T009,1,México,"¿Quién estaba previsto que dirigiera el Movimiento de Independencia, pero el Cura Hidalgo lo madrugó literalmente dando el Grito?",Ignaccio Allende *,José Ma. Morelos,Vicente Guerrero
,,,,,,
T009,2,Historia Universal,"El navegante inglés James Cook viajó mucho por los mares del sur y llegó al archipiélago de Hawai, al que llamó islas...",Hot Dogs,Hamburger,Sanwich *
,,,,,,
T009,3,Geografía Universal,"¿El tráfico de qué canal, por el que circula más del 10% del comercio marítimo mundial, estuvo bloqueado casi una semana por un barco carguero  encallado, en 2021?",De Panamá,De Suez *,De la Mancha
,,,,,,
T009,4,"Artes, Deportes y Entretenimientos","¿Qué egocéntrico futbolista dijo en 2016, al despedirse del Paris-Saint Germain: 'Vine como un rey, me voy como una leyenda'",Zlatan Ibrahimovic *,Paul Pogba,Gonzalo Higuain
,,,,,,
T009,5,Ciencias y Tecnología,¿Cuál es el pez más veloz nadando en las inmensidades marinas y además lo hace majestuosamente?,Pez Vela *,Tiburón,Mantarraya
,,,,,,
T009,6,Cultura General,"¿De qué comunidad hispana es oriundo el idioma que hablamos, a veces con propiedad y a menudo con flagrantes errores?",Galicia,Castilla *,Cataluña
,,,,,,
T010,1,México,"Ciudad prehispánica, de 21 kilómetros cuadrados de superficie, que luce dos espléndidas pirámides y un templo a Quetzalcóatl",Chichen Itzá,Teotihuacán *,Tajín
,,,,,,
T010,2,Historia Universal,"Terranova es un teritorio canadiense, visitado hace unos 1,000 años por un hijo del navegante escandinavo Erick El Rojo, llamado...",Roald Amundsen,Leif Erikson *,Olof Palme
,,,,,,
T010,3,Geografía Universal,"¿Cuál es el puerto principal de Francia que, para más señas, está en el Mar Mediterráneo, a un paso de la Costa Azul?",Niza,Cannes,Marsella *
,,,,,,
T010,4,"Artes, Deportes y Entretenimientos","¿Qué comediógrafo francés era un genio burlándose del prójimo como lo prueba en El Burgués gentilhombre, El avaro y Tartufo?",Moliére *,Voltaire,Montaigne
,,,,,,
T010,5,Ciencias y Tecnología,"¿Qué araña muy venenosa mata al macho y lo devora después del apareamiento, por lo cual tiene pocos pretendientes?",Doña Diabla,Viuda Negra *,Mancornadora
,,,,,,
T010,6,Cultura General,"Si visitas este museo madrileño, lleva zapatos cómodos y dedícale al menos un día, pues posee una de las pinacotecas mas grandes del mundo.",Museo del Prado * ,Museo de El Escorial,Museo del Palacio Real
T011,1,México,¿En qué tenebrosa cárcel estuvo preso alguna vez don Benito Juárez en tiempos del presidente Santa Anna?,Lecumberri,Islas Marías,San Juan de Ulúa *
,,,,,,
T011,2,Historia Universal,"Es, desde 1920 una de las naciones del Reino Unido; su pueblo estuvo dividido por un odio ancestral entre católicos y protestantes...",Gales,Escocia,Irlanda del Norte *
,,,,,,
T011,3,Geografía Universal,"¿Aproximadamente cuántos millones de habitantes tenía hasta 2020 nuestro atribulado planeta, y contando?","7,800 *","6,700","8,600"
,,,,,,
,,,,,,
,,,,,,
T011,4,"Artes, Deportes y Entretenimientos","Si no has leído Madam Bobary te has perdido una de las 10 mejores novelas de todos los tiempos, quién es su autor?",Jean Cocteau,Gustave Flaubert *,Charles Baudelaire
,,,,,,
T011,5,Ciencias y Tecnología,"El camello de dos jorobas se llama bactriano, ¿cómo se llama el de una joroba?",Mostrenco,Bigiba,Dromediario *
,,,,,,
T011,6,Cultura General,"Como regalo de bodas, los dioses le dieron a esta insensata mujer una caja que nunca debía abrir, lo hizo y mira cuantos males aquejan a la humanidad",Casandra,Penélope,Pandora *
,,,,,,
T012,1,México,¿En qué año nació Mexico como república libre y soberana?,1814,1810,1824 *
,,,,,,
T012,2,Historia Universal,¿Qué guerras sostuvieron romanos y cartagineses en los siglos III y II a C. por el dominio del Mar Mediterráneo y sus alrededores?,Médicas,Púnicas *,Sálicas
,,,,,,
T012,3,Geografía Universal,"Esta isla mide casi lo mismo que México, pero tiene menos de 60 mil habitantes, quizá porque el 81% de su territorio es puro hielo",Terranova,Groenlandia *,Alaska
,,,,,,
T012,4,"Artes, Deportes y Entretenimientos","¿Quién ganó en 2021 el oscar como Mejor Actriz, por tercera ocasión?",Frances McDormand *,Carey Mulligan,Viola Davis
,,,,,,
T012,5,Ciencias y Tecnología,"El bombeo de la sangre desde el corazón hacia todo e cuerpo se llama sístole, ¿cómo se llama el movimiento contrario?",Rocámbole,Diástole *,Hipérbole
,,,,,,
T012,6,Cultura General,"¿En qué parte de su casa, hoy considerada como reliquia histórica, inició Steve Jobs su brillante carrera profesional al frente de Apple?",En la azotea,En el sótano,En el garage *
,,,,,,
T013,1,México,"Mas de la mitad de los estados de México, son costeros.Deduce cuantos son",17 *,15,14
,,,,,,
T013,2,Historia Universal,"¿A qué gobernante egipcio se deben los majestuosos templos de  Luxor, karnak y Abu Simbel, construídos por él, en su honor ?",Tutmosis,Ramses II *,Amenofis IV
,,,,,,
T013,3,Geografía Universal,¿ En torno a qué océano  se desarrollaron las primeras civilizaciones del mundo ?,Índico *,Pacífico,Atlántico
,,,,,,
T013,4,"Artes, Deportes y Entretenimientos","La película Sully nos mostró a Tom Hanks acuatizando exitosamente un avión con 151 personas a bordo, en las gélidas aguas del río...",Hudson *,Potomac,San Lorenzo
,,,,,,
T013,5,Ciencias y Tecnología,"La glándula tiroides regula el crecimiento del cuerpo humano, ¿qué elemento químico es indispensble para su funcionamiento?",Yodo*,Bromo,Litio
,,,,,,
T013,6,Cultura General,¿Quéconspicuo personaje de nuestra historia ingresó al seminario de Oaxaca en 1843 donde permaneció 4 años ?,Benito Juárez,Porfirio Díaz *,Antonio López de Santa Anna
,,,,,,
T014,1,México,"¡Alto, los valientes no asesinan! ¿Quién salvó la vida de Juárez con estas palabras cuando iba a ser fusilado sin causa judicial?",Mariano Escobedo,Guillermo Prieto *,Justo Sierra
,,,,,,
T014,2,Historia Universal,"El imperio romano nació en el año 27 a C., en el preciso momento en que Octavio César recibió el magnificente nombre de...",Augusto *,Máximo,sergio
,,,,,,
T014,3,Geografía Universal,"Florida, Alabama, Mississippi y Luisiana son cuatro de los estados costeros estadounidenses del Golfo de México, ¿cuál falta ?",Georgia,Texas *,Virginia
,,,,,,
T014,4,"Artes, Deportes y Entretenimientos","¿Quién es, hasta 2021, el único deportista que ha firmado contrato (calificado por la prensa como faraónico) por mas de 600 millones de dólares?",Canelo Álvarez,Alex Rodríguez,Leonel Messi *
,,,,,,
T014,5,Ciencias y Tecnología,"¿Qué ave aletea al ritmo de 22 a 78 veces por segundo, lo que le permite mantenerse inmóvil en el aire ?",Colibrí *,Gorrión,Mirlo
,,,,,,
T014,6,Cultura General,"¿Qué nombre,dado por un niño de 9 años, recibe la cifra compuesta por un 1 y 100 ceros?",Parsec,Googol *,Pólder
,,,,,,
T015,1,México,"La diosa azteca Coatlicue adoptaba la forma de Tonantzin, palabra que significa Nuestra Madre o Madrecita, para ser adorada en el cerro del ...",Chiquihuite,Peñón,Tepeyac *
,,,,,,
T015,2,Historia Universal,"¿Qué pueblo mesopotámico está considerado como la primera civilización, o sea como la mas antigua de la Historia ?",Cartag,Sumer *,Persia
,,,,,,
T015,3,Geografía Universal,"¿Qué navegante inglés tiene una bahía, un estrecho y un río que llevan su nombre ?",Henry Hudson *,James Cook,William Baffin
,,,,,,
T015,4,"Artes, Deportes y Entretenimientos","¿A qué equipo inglés emigró Pep Guardiola, el ex entrenador del Barcelona y el Bayern Munich, a partir del 2016?",Manchester City *,Liverpool,Arsenal
,,,,,,
T015,5,Ciencias y Tecnología,¿Quién fue el primero en representar en un mapa los meridianos y paralelos con líneas verticales y horizontales?,Américo Vespucio,Juan de la Cosa,Gerardus Mercator *
,,,,,,
,,,,,,
T015,6,Cultura General,"¿Qué capital mexicana se llamó Antequera como su homónima española, hasta el año de 1821?",Oaxaca *,Tepic,Campeche
,,,,,,
T016,1,México,¿Las aguas de qué golfo bañan las costas del puerto de Salina Cruz?,Golfo de México,Golfo de California,Golfo de Tehuantepec *
,,,,,,
T016,2,Historia Universal,¿Qué país gobernó Evo Morales casi 14 años ?,Paraguay,Nicaragua,Bolivia *
,,,,,,
T016,3,Geografía Universal,"¿Qué cadena montañosa empieza en Nuevo México y se va directo hasta Columbia Británica, en Canadá ?",Apalaches,Cárpatos,Rocallosas *
,,,,,,
T016,4,"Artes, Deportes y Entretenimientos",¿Qué fantastico récord impuso el jamaiquino Usain Bolt en el Mundial de  Atletismo de 2009 en los 100 metros planos?( en segundos y fracciones de segundo),8.58,7.58,9.58 *
,,,,,,
T016,5,Ciencias y Tecnología,"Vuela a ciegas en la oscuridad gracias a su avanzado sistema ultrasónico de orientaión, que inspiró la invención del radar...",Tecolote,Búho,Murciélago *
,,,,,,
T016,6,Cultura General,"Monstruo mitológico griego, de cabeza y busto de mujer, cuerpo de león y alas de ave, que te hacía una adivinanza y si no le atinabas, morías...",Centauro,Basilisco,Esfinge *
,,,,,,
T017,1,México,"En la dictadura porfirista hubo paz, auge económico e inversión pero ¿qué parte del territorio nacional estaba en manos de latifundistas ?",40 %,59%,97%*
,,,,,,
T017,2,Historia Universal,"¿Qué grotesco dictador de Uganda, causante de cientos de miles de muertes, se decía ' conquistador del imperio britániclo'?",Idi Amin Dada *,Mobutu Sese Seko,Milton Obote
,,,,,,
T017,3,Geografía Universal,"Italia tiene michos y muy bellos lagos. ¿Cuál es el principal o, como quien dice el mayor, con una superficie de 370 kms. cuadrados?",Como,Mayor,Garda *
,,,,,,
T017,4,"Artes, Deportes y Entretenimientos",¿Qué cinta nominada al Oscar en 2021 está basada en la vida del escritor de la célebre película El ciudadano Kane?,El padre,Mank * ,Minari
,,,,,,
T017,5,Ciencias y Tecnología,"Después del hombre, ¿Cual es el animal que mas muertes humanas causa?",La víbora,El Alacrán,El mosquito *
,,,,,,
T017,6,Cultura General,Filósofo y político alemán que escribió con karl Marx El manifiesto del Partido Comunista publicado en 1848.,Erich Fromm,Friedrich Engels *,Klemens Metternich
,,,,,,
T018,1,México,"La presa La Angostura es la mayor de la República y está en Chiapas.Como se llama oficialmente, en honor de un ilustre chiapaneco?",Belisario Dominguez *,Mmariano Escobedo,Melchor Ocampo
,,,,,,
T018,2,Historia Universal,"¿Qué rey deInglaterra rompió con el Papa por divorciarse contra su voluntad, de Catalina de Aragón, y fundó una iglesia independiente?",Arturo I,Enrique VIII *,Eduardo VI
,,,,,,
T018,3,Geografía Universal,"¿En el teritorio de qué país se abrió, a pico y pala, el Canal de Suez en 1869?",Líbano,Libia,Egipto *
,,,,,,
T018,4,"Artes, Deportes y Entretenimientos",La olimpiada invernal del 2014 se celebró en la bella Sochi.¿En qué país está ?,Rusia *,Suiza,China
,,,,,,
T018,5,Ciencias y Tecnología,"¿Cual de estos roedores es omnívoro, como consta a quienes lo han visto en acción, o los resultados de sus acciones?",Rata *,Conejo,Castor
,,,,,,
T018,6,Cultura General,¿Cual de las cuatro lenguas pincipales de España es la única que carece de raíces latinas?,Vasco *,El catalán,El gallego
,,,,,,
T019,1,México,¿Quién fue el primer egresado de administración de empresas en ocupar la presidencia de la Republica?,Vicente Fox *,Ernesto Zedillo,Carlos Salinas
,,,,,,
T019,2,Historia Universal,"La Mesopotamia estuvo dividida en un tiempo en dos Imperios:Asiria al norte, ¿cual otro al sur?",Sumer,Uruk,Babilonia *
,,,,,,
T019,3,Geografía Universal,"Está en Tanzania, tiene una altitud de casi cuatro mil metros y es la montaña mas alta de África",K2,kilimanjaro *,Kanchenjunga
,,,,,,
T019,4,"Artes, Deportes y Entretenimientos","¿Qué beisbolista dominicano de 22 años de edad, firmó en 2021, un contrato por 340 millones de dólares con los Padres de San Diego?",Fernando Tatis Jr. *,Juan Soto,Francisco Lindor
,,,,,,
T019,5,Ciencias y Tecnología,Fué el primero en usar el telescopio para observar el Sistema Solar y hacer investigaciones al respecto.,Nicolás Copérnico,Galileo Galilei *,Jahannes Kepler
,,,,,,
T019,6,Cultura General,"Bella mujer bíblica acusada de adulterio por dos libidinosos ancianos, que luego reciben su merecido.",Raquel,Susana *,Rebeca
,,,,,,
T020,1,México,Porfirio Díaz ejerció una larga dictadura reprimiendo a sus opositores con la famosa política de..,Por la razón o por la fuerza,El gran garrote,Mátalos en caliente *
,,,,,,
T020,2,Historia Universal,¿Cuantos millones de personas se estima que murieron en la II Guerra Mundial? (Hay muchas cifras esta es la que vale y también la mayor),40,60 *,90
,,,,,,
T020,3,Geografía Universal,"Italia está bañada por cuatro mares, todos integrantes del Mediterráneo, ¿cuál de ellos forma los canales de la bellísima Venecia ?",Tirreno,Adriático *,Liguria
,,,,,,
T020,4,"Artes, Deportes y Entretenimientos","Había una vez en ... Holliwood; es una polémica película de humor negro, escrita  y dirigida por...",Martin Scorsese,Quentin Tarantino *,Oliver Stone
,,,,,,
T020,5,Ciencias y Tecnología,"El tamaño de los peces varía desde 10 mm. hasta 15 metros de largo como éste, que llega a pesar hasta 20 toneladas...",Orca,Tiburón ballena *,Cachalote
,,,,,,
T020,6,Cultura General,"Los judíos lloran sobre el Muro de las Lamentaciones la destrucción, hace  dos mil años de...",El Templo de Salomón *,El Arca de la Alianza,La tumba de Moisés
,,,,,,
T021,1,México,¿Qué número de gol se anotó en el Estadio Azteca el 6 de abril de 2019?,"10,000 *","25,000","50,000"
,,,,,,
T021,2,Historia Universal,"Francois Duvalier era un médico amable y paternal, y a la vez un sanguinario dictador, que heredó la presidencia vitalicia a su hijo de 20 años. ¿En qué país?",Haití *,Jamaica,Paraguay
,,,,,,
T021,3,Geografía Universal,"El archipiélago de las Antillas se divide en Mayores y Menores, las Mayores incluyen sólo cuatro islas, entre ellas...",Aruba,Puerto Rico *,Gran Caimán
,,,,,,
T021,4,"Artes, Deportes y Entretenimientos","¿Qué cantante italiana compitió por el Oscar en 2021 al lado de Diane Warren, que lo ha hecho 12 veces sin éxito?",Alessandra Amoroso,Laura Pausini *,Filippa Giordano
,,,,,,
T021,5,Ciencias y Tecnología,"¿Como se llama el hueso largo del esqueleto del antebrazo, que para más señas es contiguo al cúbito?",Omóplato,Radio *,Húmero
,,,,,,
T021,6,Cultura General,"Hablando de Contabilidad, ¿qué estado financiero revela lo que se tiene, lo que se debe y la diferencia?",El Balance General *,El Estado de Resultados,El Estado de Cuenta
,,,,,,
T022,1,México,"Dos ciudades están en la punta de la península de Baja California, una de ellas es Cabo San Lucas, ¿Cuál es la otra ?",San José del Cabo *,La Paz,Ensenada
,,,,,,
T022,2,Historia Universal,"Cuando su amado caballo Bucéfalo murió en batalla, fundó sobre su tumba una ciudad llamada Bucefalia, que tristemente, ya no existe...",Napoleón Bonaparte,Alejandro Magno *,Julio César
,,,,,,
T022,3,Geografía Universal,Egipto es cuna de la civilización mas esplendorosa de la historia. Su existencia data del año...,"7,200 a C.","3,200 a C.*","5,200 a C."
,,,,,,
T022,4,"Artes, Deportes y Entretenimientos","¿Qué talentoso director mexicano filmó El laberinto del fauno,que fue nominada al Oscar a la mejor cinta extranjera del 2006?",Guillermo del Toro*,Alfonso Cuarón,Alejandro González Iñárritu
,,,,,,
T022,5,Ciencias y Tecnología,"La edad de los árboles se conoce contando los anillos de su tronco, ¿ cada cuándo agregan uno y aumentancon ello su diámetro?",Cada año *,Cada dos años,Cada cinco años
,,,,,,
T022,6,Cultura General,"¿Qué mitológica mujerconvertía en piedra a todo el que la miraba, lo cual seguramente era difícil de evitar, pues era muy bella? ",Medusa *,Penélope,Quimera
,,,,,,
T023,1,México,¿Qué artículo de nuestra Constitución prohíbe la esclavitud?,Primero *,Vigésimoquinto,Cuarentayochoavo
,,,,,,
T023,2,Historia Universal,"Magallanes trató de llegar a las islas de las Especias, hoy llamadas Molucas, y volver por el oriente, ¿en qué archipiélago murió, a mitad del camino",Filipinas *,Malvinas,Azores
,,,,,,
T023,3,Geografía Universal,"¿Qué mar baña el litoral de Bulgaria, Rumanía, Ucrania, Rusia y Georgia, y toda la costa norte del territorio turco?",Mar Rojo,Mar Negro *,Mar Amarillo
,,,,,,
T023,4,"Artes, Deportes y Entretenimientos","¿En qué país nació el arte de decirlo todo cantando, al compás de la música? Eso que se conoce con elnombre de ópera.",Italia *,Francia,Inglaterra
,,,,,,
T023,5,Ciencias y Tecnología,"Si se pusieran en línea nuestros vasos sanguíneos, darían 2.5 vueltas al mundo, ¿cuánto miden , consecuentemente?",100 mil kilómetros *,150 mil kilómetros,200 mil kilómetros
,,,,,,
T023,6,Cultura General,"Gigantes  mitológicos con un enorme ojo en la frente, muy afectos a la carne humana como Polifemo, que se quiso comer a Odiseo...",Cíclopes *,Titanes,Tritones
,,,,,,
T024,1,México,Dos estados concentran el 70 % de la poducción nacional  de café. ¿Cuáles?,Jalisco Y Oaxaca,Tabasco y Yucatán,Chiapas y Veracruz *
,,,,,,
T024,2,Historia Universal,El antiguo Egipto tuvo muchas capitales. ¿Cuál fue la primera que dió nombre a cierta ciudad del estado de Tennessee?,Tebas,Alejandría,Menfis *
,,,,,,
T024,3,Geografía Universal,Los desiertos del mundo ocupan mas de 50 millones de Km2. ¿Qué parte de la superficie terrestre cubren ?,Tercera *,Cuarta ,Quinta
,,,,,,
T024,4,"Artes, Deportes y Entretenimientos","¿Quién ha sido entrenador de un equipo deportivo mas exitoso de todos los tiempos con 13 campeonatos en su haber, entre otros muchos lauros?",Phil Jackson,Alex Ferguson *,Chuck Knoll
,,,,,,
T024,5,Ciencias y Tecnología,"¿Qué clase de insecto es la mosca, por el simple hecho de tener dos alas?",Quiróptero,Díptero *,Coleóptero
,,,,,,
T024,6,Cultura General,"La medición de un año se basa en una traslación de la Tierra alrededor del Sol, cuya duración es de 365 días,5 horas y...",4 minutos,24 minutos,48 minutos *
,,,,,,
T025,1,México,"Gran actriz y cantante que será siempre recordada  por sus interpretaciones de Amanecí otra vez entre tus brazos,, No discutamos, Amémonos, etc.",Lola Beltrán,Lucha Villa *,Amalia Mendosa
,,,,,,
